major minor  #blocks  name

   8        0  124936192 sda
   8        1       8192 sda1
   8        2      32768 sda2
   8        3      16384 sda3
   8        4         64 sda4
   8        5         64 sda5
   8        6        512 sda6
   8        7       2560 sda7
   8        8       4096 sda8
   8        9       4096 sda9
   8       10        512 sda10
   8       11        512 sda11
   8       12        512 sda12
   8       13        512 sda13
   8       14       1536 sda14
   8       15       1536 sda15
 259        0        512 sda16
 259        1        512 sda17
 259        2        128 sda18
 259        3        128 sda19
 259        4        256 sda20
 259        5        256 sda21
 259        6       2048 sda22
 259        7       2048 sda23
 259        8        128 sda24
 259        9       2560 sda25
 259       10       2560 sda26
 259       11         80 sda27
 259       12         80 sda28
 259       13       2048 sda29
 259       14       2048 sda30
 259       15      98304 sda31
 259       16      98304 sda32
 259       17      98304 sda33
 259       18      98304 sda34
 259       19       1024 sda35
 259       20       1024 sda36
 259       21     399360 sda37
 259       22     399360 sda38
 259       23      65536 sda39
 259       24      65536 sda40
 259       25          4 sda41
 259       26        256 sda42
 259       27      33424 sda43
 259       28          4 sda44
 259       29       1024 sda45
 259       30       8192 sda46
 259       31        128 sda47
 259       32       1024 sda48
 259       33          8 sda49
 259       34       1024 sda50
 259       35        512 sda51
 259       36      16384 sda52
 259       37      32768 sda53
 259       38      16384 sda54
 259       39       8192 sda55
 259       40         28 sda56
 259       41        512 sda57
 259       42      16384 sda58
 259       43          4 sda59
 259       44         32 sda60
 259       45         32 sda61
 259       46         64 sda62
 259       47         64 sda63
 259       48         64 sda64
 259       49         64 sda65
 259       50      24576 sda66
 259       51      24576 sda67
 259       52      65536 sda68
 259       53      65536 sda69
 259       54       1024 sda70
 259       55        512 sda71
 259       56       2048 sda72
 259       57        128 sda73
 259       58         32 sda74
 259       59         32 sda75
 259       60     819200 sda76
 259       61     819200 sda77
 259       62   12058624 sda78
 259       63  109483764 sda79
 259       64      20480 sda80
   8       16       8192 sdb
   8       17       7956 sdb1
   8       18        192 sdb2
   8       32       8192 sdc
   8       33       7956 sdc1
   8       34        192 sdc2
 179        0   31178752 mmcblk0
